breed,name,height,weight,life_exp,group,country,history,colors
samoyed,Samoyed,"21-23.5 inches (male), 19-21 inches (female)","45-65 pounds (male), 35-50 pounds (female)",12-14 years,Spitz and primitive types,"northern russia, siberia","The name Samoyed comes from the Samoyede, a semi-nomadic people from Asia who migrated to Siberia a thousand years ago. They bred dogs for hard work in the coldest habitable places on earth. In the Siberian town of Oymyakon, for instance, temperatures of minus-60 degrees are common. The Samoyede people lived in tents and huddled for warmth with their dog packs during the Arctic nights. This type of human-canine cooperation for mutual survival forged a tight bond between Samoyeds and people. When not sledging heavy loads across vast expanses of Siberia, Samoyed dogs earned their feed as watchdogs and hunters.The Samoyede depended on reindeer as a vital source of food, fur, and leather. At first, they used their dogs to hunt reindeer. But in time Samoyede culture shifted from hunting reindeer to herding them. The bold white hunting dogs and haulers found a new role as stock dogs, moving and protecting the herds.In the late 18th century, Arctic adventurers returning to England introduced the Samoyed to British dog lovers of refined tastes. Queen Alexandria was an admirer who did much to promote the breed as a companion and show dog. In America, a sparkling white dog named Moustan of Argenteau made history in 1906 as the first of the breed (then known as the Samoyede) registered by the AKC. American and European mushers of the early 20th century knew the Samoyed as an enthusiastic hauler of supplies, capable of sledging one and a half times their own weight. Scott, Shackleton, and Amundsen are a few of the era’s famous explorers who rode behind Sams through uncharted frozen wastelands.","Biscuit,Cream,White,White & Biscuit"
vizsla,Vizsla,"22-24 inches (male), 21-23 inches (female)","55-60 pounds (male), 44-55 pounds (female)",12-14 years,Pointing Dogs,hungary,"The Magyar people bolted from the Russian steppes sometime in the mid-800s and for 50 years ravaged Western Europe. These brutal marauders rampaged across the continent on horseback, leaving in their wake a wide swath of death and destruction. They ranged as far west as Paris and as far south as the toe of Italy, before settling in what is now Hungary.The supremacy of Magyar cavalry was predicated on three qualities: speed, agility, and toughness. Accordingly, Magyar warriors carefully bred these qualities into their horses—and their dogs. In this lightning-fast kingdom on horseback, it was either keep up or perish. The Magyars’ nimble red dogs, ancestors of the modern Vizsla, kept up.Over centuries, Hungarian nobles and warlords refined these dogs and set the type of the modern Vizsla. The breed became famous as a swift, all-purpose hunting dog who could do just about anything asked. In modern times, that eagerness has won Vizslas generations of American fans.The first Vizsla to come to America, in 1950, was smuggled out of Communist Hungary with the help of a U.S. State Department employee. Fifty years later, a Vizsla named Chartay became the first dog in AKC history to earn championships in five different sports—a quintuple champion. It’s no wonder that the words “versatile” and “Vizsla” so often appear in the same sentence.","Golden,Red,Rust"
cocker_spaniel,Cocker Spaniel,"14.5-15.5 inches (male), 13.5-14.5 inches (female)","25-30 pounds (male), 20-25 pounds (female)",10-14 years,Retrievers,great britain,"The spaniel is a breed type of great antiquity, believed to have originated in Spain (the words “Spain” and “spaniel” being closely related). Spaniels have been bird hunters’ helpers since before the development of the rifle, when hunting dogs were used in tandem with nets.For centuries, European and British spaniels were informally grouped as simply land spaniels and water spaniels. By the 19th century, however, when written breed standards, dog shows and field trials, and the very notion of purebred dogs began to gain traction in England, the various spaniels were classified as specific breeds. Among them was the Cocker, so called because they specialized on woodcock. These dogs, smaller than English Springer Spaniels but larger than English Toy Spaniels, were the ancestors of the modern Cocker Spaniel.In America, the Cocker Spaniel diverged into two varieties, American and English. The English was characterized as being taller and with a longer head than its American cousin, with a coat that was not as profuse. The English and Canadian kennel clubs registered the varieties as separate breeds beginning in 1940, and the AKC followed suit in 1946. The AKC breed names are the Cocker Spaniel (for the U.S. type) and the English Cocker Spaniel (for the British type).A black Cocker named Brucie helped popularize the breed by twice winning Westminster’s Best in Show, in 1940 and ’41, but the Cocker’s American heyday came in the 1950s. The Cocker was the AKC’s most popular breed of the decade. It was the era of Disney’s “Lady and the Tramp” and Vice President Richard Nixon’s Cocker, named Checkers, who helped change the course of U.S. political history.","Black,Black & Tan,Black & White,Black White & Tan,Brown,Brown Road & Tan,Brown & Tan,Brown & White,Brown White & Tan,Buff,Buff & White,Red,Red & White,Silver,Blue Roan & Tan,Cream,Golden,Sable,Sable & White,Roan,Ticked"
blenheim_spaniel,Blenheim Spaniel,12-13 inches,13-18 pounds,12-15 years,Companion and Toy Dogs,great britain,"Toy spaniels were the province of European nobility from at least Renaissance times. Two 17th-century British monarchs, the ill-fated King Charles I and his son Charles II, were especially devoted to a black and tan variety of toy spaniel that eventually was named in the latter’s honor. According to the famed diarist of the Restoration era, Samuel Pepys, Charles II seemed more concerned with breeding spaniels than ruling Britain. Toy spaniels remained a great favorite of British aristocrats into the early 19th century. Among their upper-crust partisans of this era was the Marlborough family, who bred a line of red-and-whites at Blenheim Palace. Later in the century, in the age of Victoria, the breed was crossed with Asian toys, probably Pugs and Japanese Chin, and became what is known in America as the English Toy Spaniel (or, in the United Kingdom, the King Charles Spaniel).This new-style toy spaniel had a domed skull and a flatter face than those of Charles’s time. Before long, this type came to dominate, and the traditional toy spaniel of the Restoration was rendered nearly extinct—but not forgotten.Fanciers of the 1920s wondered whether there still existed the old-type toy spaniel immortalized in ancestor portraits hanging in the stately halls of English manors. A wealthy American named Roswell Eldridge offered a cash prize to British breeders who could produce “Bleinheim Spaniels of the Old World type.” The prospect of prize money drove breeders to revive the old style. These dogs were dubbed Cavalier King Charles Spaniels. (The name Cavalier is a nod to the monarchist party that supported the Stuarts during the civil war that cost Charles I his head.)The breed is notable for its four distinct color patterns, each of which, at various times, was associated with a particular noble family: Blenheim (chestnut markings on a white background), Tricolor (black markings on a white background), Black and Tan (black with tan markings), and Ruby (a rich red).","Black & Tan,Black & White,Blenheim,Ruby"
rottweiler,Rottweiler,"24-27 inches (male), 22-25 inches (female)","95-135 pounds (male), 80-100 pounds (female)",9-10 years,Pinscher and Schnauzer,germany,"The Roman Empire was the organizing force behind Western Europe’s formative years, and dog breeding was among the many pursuits forever altered by the Roman genius for practical problem solving.When conquering Roman legions marched to far-flung corners of the world, they brought their herds with them as food on the hoof. The army required tough, durable dogs to move and guard the herd. Utilizing Asian mastiff types as breeding stock, the Romans developed the distant ancestor of today’s Rottweiler. For centuries the legions struggled to contain Germanic tribes, the so-called barbarian hoards, massed on the Empire’s northern borders. The dogs the Romans brought to these areas became foundation stock for many German breeds.In the centuries after the empire’s collapse, the Roman drover dogs found work in the cattle town of Rottweil. It was here, moving herds from pasture to market and protecting all concerned from bandits and rustlers along the way, that they earned the name Rottweiler Metzgerhund, or Butcher’s Dog of Rottweil.The Rottie’s career in livestock ended with the rise of the railroad cattle cars in the 1800s. They found new work as police dogs, personal protectors, and all-around blue-collar dogs capable of performing various heavy-duty tasks. Rotties were among the first guide dogs for the blind, and in more recent times they distinguished themselves as search-and-rescue workers at such disaster sites as Oklahoma City and the World Trade Center.Considering the many roles the breed has played during its long history, it is remarkable that the Butcher’s Dog has changed little in form and temper since its first German breed standard was drawn up in 1901.","Black & Mahogany,Black & Rust,Black & Tan"
whippet,Whippet,"19-22 inches (male), 18-21 inches (female)",25-40 pounds,12-15 years,Sighthounds,great britain,"For thousands of years the Greyhound has been the template for later sighthounds, and the mild-mannered Whippet is a highly successful member of this clan of lightning-fast sprinters.The Whippet’s story begins in Victorian England. North-country coal miners enjoyed the sports of dog racing and rabbit hunting on their days off. But they couldn’t afford to feed and kennel large athletes like Greyhounds, nor did they have the space to properly exercise them. The miners’ practical solution was to breed a smaller version of the Greyhound. Though it is uncertain which breeds were utilized to create the Whippet, the miners plainly did their work well. Their handiwork, the Whippet, is the fastest breed of its size, reaching speeds of up to 35 miles per hour.In its formative days, the Whippet breed had such colorful nicknames as the “Poor Man’s Racehorse” and the “Lightning Rag Dog” (they would chase a rag dragged along a straight course in an early version of lure coursing). The name Whippet seems to derive from “whappet,” an antique word that means “a small dog that yaps.”By the turn of the 20th century, textile workers from Lancashire were emigrating to New England. Among the touches of home they brought to the New World were their Whippets. The Whippet was an instant success in America, and Whippet racing—for money or just for fun—caught on with people from all walks of life, just as it had in England. The AKC registered its first Whippet in 1888. These days, lure coursing provides an excellent outlet for the Whippet’s need for speed.","Black,Blue,Cream,Fawn,Red,White,White & Black,White & Blue,White & Blue Brindle,White & Blue Fawn,White & Fawn,White & Fawn Brindle,White & Red,White & Red Brindle"
groenendael,Groenendael,"24-26 inches (male), 22-24 inches (female)","55-75 pounds (male), 45-60 pounds (female)",12-14 years,Sheepdogs and Cattledogs (except Swiss Cattledogs),belgium,"Belgium’s climate and terrain are highly favorable for livestock and dairy farming, and the small but industrious country has always been self-sufficient in these commodities. Belgium has long been the world’s leading exporter of milk chocolate, a key component to the national economy. It should, then, come as no surprise that old-time Belgian farmers were preoccupied with cattle herding.This preoccupation included the breeding of herding dogs. In fact, there were once eight types of shepherd dogs unique to Belgium. By the 1890s, when they were officially classified for the first time, there remained the four we know today: The Belgian Sheepdog (aka Groenendael or Chien de Berger Belge), Malinois, Tervuren and Laekenois. They were anatomically identical but varied in coat textures, colors, and length. The name Groenendael was given to the longhaired black variety, today’s Belgian Sheepdog, thanks to Nicolas Rose, an important breeder of the 1890s who operated a restaurant near Brussels called the Chateau Groenendael.By the turn of the 20th century, the versatility and work drive of Belgian Sheepdogs were becoming known beyond the pastures of Belgium. Paris and New York used Belgian Sheepdogs as police dogs in this era. Customs agent employed them on border patrols, rooting out smugglers. During World War I, they distinguished themselves as messengers, ambulance dogs, and freighters of heavy gunnery. Belgian Sheepdogs reprised their role as war dogs during the Second World War.The Belgian Sheepdog Club of America was formed in 1949, and since then this noble breed has done it all: show dog, athlete, police officer, soldier, service dog, searcher and rescuer, watchdog, and tireless backyard tennis-ball fetcher.","Black,Black & White,Black & Cream,Brown,Fawn,Fawn & Black,Gray,Gray & Black,Sable,Silver,Silver & Black,Wolfgray & Black,Spotted"
bouvier_des_flandres,Bouvier Des Flandres,"24.5-27.5 inches (male), 23.5-26.5 inches (female)",70-110 pounds,10-12 years,Sheepdogs and Cattledogs (except Swiss Cattledogs),"belgium, france","Bouvier des Flandres roughly translates as “cowherd of Flanders.” In the breed’s formative years, it was called “vuilbaard” (“dirty beard”), “koehond” (“cow dog”), and “toucher de boeuf or pic” (“cattle driver”)—apt descriptions of this majestic herder. Belgium once had several “bouvier” breeds; the Bouvier des Flandres is the last to exist in any great numbers.In medieval times, when the Bouvier was first conceived, Flanders was a principality encompassing parts of modern-day France, Belgium, and The Netherlands. (To this day, both France and Belgium claim the Bouvier as a native breed.) As the breed’s many early names suggest, moving cattle was the Bouvier’s primary occupation. But the thrifty farmers of France and the Low Countries preferred owning one versatile dog instead of a team of specialists, so Bouviers earned their keep as herders, watchdogs, guardians, and cart-pullers.By the turn of the 20th century, Bouviers were attracting the attention of international dog fanciers far from the farms and pastures of Flanders. A Belgian breed club was formed, and French and Belgian experts drew up a written standard. With the outbreak of World War I, however, the Bouvier’s bucolic homeland became a nightmarish battlefield. The region’s farmers were displaced, and their dogs lost or destroyed.The Belgian army was responsible for keeping the breed alive, and Bouviers distinguished themselves as courageous and resourceful dogs of war. In peacetime, Bouviers burnished their résumé as European police K-9s and guide dogs for the blind.After the second world war the Bouvier was again nearly extinct, but European expatriates kept the breed alive in America. The American Bouvier des Flandres Club was formed in 1963.","Black,Brindle,Fawn,Pepper & Salt,Black & Brindle,Black & Brown,Black & Fawn,Black & Gray,Black & White,Blue,Blue & Gray,Brown,Silver & Gray,White"
australian_terrier,Australian Terrier,10-11 inches,15-20 pounds,11-15 years,Terriers,australia,"Among the touches of home that 19th century British settlers brought to Australia were several breeds of working terrier. The Aussie is said to be the result of interbreeding such British mainstays as the Cairn, Dandie Dinmont, Norwich, Scottie, Skye, and Yorkshire terriers—and a practiced eye can spot aspects of these and other terriers in the Aussie makeup. Aussies were bred to be fearless, all-purpose exterminators, working on small mammals and snakes. (A breed historian says that the Aussie employed a “leap-twist-and-pounce” approach to snake killing.)Life in the remote regions of Australia with little company forged a tight bond between Aussies and their people. These tough little frontier dogs, among the smallest of the working terriers, proved to be cuddly, eternally devoted pets when the day’s work was done.To this day, outgoing Aussies are people-oriented companions who don’t do well when neglected—they practically demand to be part of the family.The Australian Terrier can make a fair claim to being “Australia’s Dog.” It was the first native breed to be officially recognized in its homeland, and the first Australian breed to be recognized in other countries. The first club devoted to the breed was founded in Melbourne in 1887, a breed standard was devised, and imports to America and Britain began soon after. The Kennel Club (England) granted the Aussie breed status in 1933, and the AKC recognized the breed in 1960.","Blue & Tan,Red,Sandy,Black,Black & Red,Black & Tan,Blue,Blue & Black,Blue Black & Tan,Brindle,Red & Black,Red & Tan,Red & White,Sable"
redbone,Redbone,"22-27 inches (male), 21-26 inches (female)",45-70 pounds,12-15 years,Not recognized,United States,"Redbones are one of six hounds developed by American settlers to provide a steady source of raccoon meat and fur during the new nation’s expansion to the south and west. Coonhounds are often portrayed in pop culture as lazy ol’ dawgs snoozing away their lives on the front porch. But anyone who’s been on a “nite hunt” in pursuit of the wily, nocturnal raccoon will tell you that Redbones and their cooner cousins are among dogdom’s most tireless and tenacious pursuers.",Red
sussex_spaniel,Sussex Spaniel,13-15 inches,35-45 pounds,13-15 years,Retrievers,great britain,"Sometime in the 1700s, sportsmen in the English county of Sussex developed a spaniel whose short legs and burly torso were perfectly suited to hunting feathered game while plowing through the region’s heavy clay soil, dense underbrush, and thick hedgerows. Because the dog was built so low and the cover was so high, Sussex developed a language of barks and babbling to mark their location to human huntsmen. And to this day, Sussex tend to be more vocal than other spaniels.",Golden liver
basset,Basset,up to 15 inches,40-65 pounds,12-13 years,Scent hounds and related breeds,great britain,"Basset Hounds were originally bred in France and Belgium (“basset” is French for “low”). It is thought that the friars of the Abbey of St. Hubert were responsible for crossing strains of older French breeds to create a low-built scenting hound that could plod over rough terrain while followed on foot by a human hunting partner tracking rabbit and deer. Their accuracy and persistence on scent made Bassets a popular choice for French aristocrats, for whom hunting was a way of life.","Black & White,Black Brown & White,Black Tan & White,Black White & Brown,Black White & Tan,Brown Black & White,Lemon & White,Mahogany & White,Red & White,Black & Brown,Black Red & White,Blue & White,Blue Tan & White,Brown & White,Tan & White,White & Lemon,White & Red,White Black & Brown,White Black & Red,Ticked"
standard_poodle,Standard Poodle,Over 15 inches (standard),"60-70 pounds (male), 40-50 pounds (female)",10-18 years,Companion and Toy Dogs,france,"The Poodle is the national dog of France, and the French sure do love their Poodles. There is, however, no such breed as the “French Poodle.” In France, Poodles are known as the Caniche, or “duck dog.”Despite the Poodle’s association with France, the breed originated as a duck hunter in Germany, where the word “pudelin” refers to splashing in water. The Standard Poodle began its development as a retrieving water dog more than 400 years ago. With a crisp, curly coat as protection against the elements, superlative swimming ability, and off-the-charts intelligence, the Poodle was, and still is, a magnificent retriever. (The Standard is the only breed classified as a non-sporting dog that is eligible for AKC Retriever Hunting Tests).The flamboyant Poodle show coat served a practical purpose in the breed’s early years. Hunters wanted their dogs to have free range of movement in the water, but they also wished to protect vital areas of the anatomy from the cold. They shaved the legs, neck, and tail but left the chest, hips, and leg joints coated. The rounded tufts on the legs, hips, and tail tip are called pompons. (Note the spelling: Cheerleaders have pom-poms; Poodles have pompons.)The Poodle’s many fine qualities allowed it to move from the lake to the lap of luxury. Elegant Poodles of the Standard and Miniature varieties found favor among the nobles of France and, eventually, all of Europe. The breed’s showy looks and trainability made it a natural entertainer, and Poodles have long been associated with the European circus tradition. An excellent nose brought the Poodle additional work as a truffle hunter.The Standard was bred down to the Miniature. The Toy was first bred in America, in the early 20th century, as a city-dwelling companion dog. Well-bred specimens of each variety are exact replicas of each other and are bred to the same standard.","Apricot,Black,Blue,Brown,Cream,Gray,Red,Silver,White,Black & Apricot,Black & Brown,Black & Cream,Black & Gray,Black & Red,Black & Silver,Black & Tan,Black & White,Blue & White,Brown & Apricot,Brown & White,Cream & White,Gray & White,Red & Apricot,Red & White,White & Apricot,White & Silver"
flat-coated_retriever,Flat-Coated Retriever,"23-24.5 inches (male), 22-23.5 inches (female)",60-70 pounds,8-10 years,Retrievers,great britain,"Flat-Coats are one of six AKC retriever breeds: tireless, trainable lake hunters who retrieve downed waterfowl. Retrievers mark where a duck falls and, on command, swim a straight path to the game, grip it gently in their mouth, swim a straight path back to the hunter, and deliver the prize to hand. In the park or backyard, a retriever’s hunting traits are expressed in seemingly endless games of fetch, an affinity for water, and an eagerness to work closely with an adored human.Flat-Coats were first bred in the mid-1800s, a relatively recent development in the AKC universe, where many breeds go back to antiquity. Flat-Coats were once Britain’s most popular retriever, before being overtaken by Labs and Goldens, and was once called the “Gamekeeper’s Dog” because of its widespread use on the sprawling estates of the English gentry.Among the component breeds in the Flat-Coat’s genetic background are the St. John’s Dog (an early version of the Lab) and various setter types. From the beginning, the coat was a striking aspect of the breed. Alternate breed names have included the Wavy-Coated Retriever, the Black Wavy Retriever, and Smooth-Coated Retriever, all referring to the breed’s unique beauty. Aside from its good looks, the coat is highly functional: it protects these superb retrievers from harsh weather, icy water, and punishing ground cover.","Black,Liver,Yellow"
chow,Chow,17-20 inches,45-70 pounds,8-12 years,Spitz and primitive types,china,"The Chow Chow, among the world’s most singular and possibly oldest breeds, is depicted in artifacts of China’s Han Dynasty (c. 206 b.c.), but evidence suggests Chows go back much further and are progenitors of other spitz-type breeds—from the burly Norwegian Elkhound to the dainty Pomeranian.Chows have played many roles during their long history. At times, they were the lordly companions to Chinese nobles. An emperor of the Tang Dynasty, circa eighth century, was said to have owned a kennel facility that housed some 5,000 Chows and a permanent staff of twice that number. But over the centuries they also earned their keep as guarders, haulers, and hunters. Their ancestors were even a food source in the distant past of their densely populated, protein-starved homeland. An ancient breed nickname is the Edible Dog, and a theory behind the origin of the name Chow maintains that it derives from the Cantonese word for “edible.”A more popular explanation of the breed name concerns 18th-century trading ships of the British Empire. At that time, the pidgin-English expression “chow chow” described the small, miscellaneous items within a ship’s cargo that weren’t itemized. “Chow chow” was simply another way of saying “etcetera,” and the odd-looking dogs British traders acquired in China were included on the ship’s manifest under the catchall “chow chow.”In the 1820s Chow Chows were exhibited at the London Zoo as the “Wild Dogs of China,” but they didn’t really catch on in the West until Queen Victoria, an inveterate dog lover, acquired one later in the century. Chows were first exhibited in America in the 1890s and were admitted to the AKC in 1903.","Black,Blue,Cinnamon,Cream,Red"
basenji,Basenji,"17 inches (male), 16 inches (female)","24 pounds (male), 22 pounds (female)",13-14 years,Spitz and primitive types,central africa,"Basenjis are contenders for the title of oldest AKC breed. Paleontologists tell us that the first domesticated dogs looked a lot like Basenjis. They were already well established when they were brought up the Nile from interior Africa as gifts for the pharaohs of ancient Egypt. Basenjis are depicted in ancient Egyptian artifacts, and traces of the breed can also be seen in ancient Babylonian and Mesopotamian art.These once-mighty civilizations collapsed millennia ago, but the Basenji endured as a semi-wild dog living at the headwaters of both the Nile and Congo rivers. African tribesmen prized Basenjis as versatile hunters with keen eyesight, explosive speed, and a highly developed sense of smell. Basenjis are known expert vertical leapers, a skill developed to scout prey in African grasslands. (An African breed name translates as “the jumping-up-and-down dog.”) Father Jerome Merolla, a 17th-century Catholic missionary to the Congo, left behind this written description of the Basenjis he saw living a feral state: “These dogs, notwithstanding their wildness, do little or no damage to the inhabitants. They are red-haired, have small slender bodies and their tails turned upon their backs.”Isolated in remote areas of the African continent for thousands of years, the unique Basenji went unaltered by Western fads and fancies. The breed that so impressed the pharaohs was pretty much the same as the breed that was introduced to the West in the late 1800s.A breeding pair was brought to England by a returning explorer in 1895, but they died soon thereafter. Another pair was brought to England in 1937. They were exhibited as natural curiosities, and this previously unknown breed caused such a sensation with the dog-loving British public that police were called in for crowd control. But, again, tragedy struck: The female and a litter of puppies died, leaving only the male, named Bois. Bois was acquired by a Boston breeder who had recently obtained a female named Congo. This resulted in the first Basenjis bred in America. More dogs were slowly added to the gene pool until, finally, the Basenji was established in the United States.","Black & White,Black Tan & White,Brindle & White,Red & White,Black Brindle & White,Blue Cream & White,Cream & White,Mahogany & White,Sable & White"
american_staffordshire_terrier,American Staffordshire Terrier,"18-19 inches (male), 17-18 inches (female)","55-70 pounds (male), 40-55 pounds (female)",12-16 years,Terriers,united states of america,"Years ago in Great Britain, several dog breeds were created to excel in blood sports. They were expected to fight one another, or they were turned loose in packs against a staked bear or bull, with spectators betting on the grisly outcome. Such revolting pastimes have long since been outlawed. These sad spectacles did, however, leave us a happy legacy: Several of today’s most loved breeds—the Bulldog, the Bull Terrier, and the American Staffordshire Terrier among them—got their start as fighting and baiting dogs of the 18th and 19th centuries.When it comes to the bull-type terrier breeds, all can agree that the common component in their makeup was the Bulldog. (Note that the Bulldog of 200 years ago was a vastly different, more ferocious creature than the lovable “sourmugs” of today.) Argument begins when breed experts try to nail down which preexisting terrier breeds reside in the AmStaff’s genetic background. Some suggest that such extinct breeds as the White English Terrier and Black-and-Tan Terrier were part of the genetic mix that led to the creation of the Staffordshire Terrier, forerunner of the AmStaff.Whatever the AmStaff’s true genetic composition might be, we are certain that working-class Brits with an interest in blood sports combined the stocky build and punishing jaws of old-style Bulldogs with the innate courage and “gameness” of terriers to create bull-type terrier breeds.By the mid-1800s, Staffordshire Terriers had arrived in America. U.S. breeders developed a Staffordshire Terrier that was larger than the English version. Eventually, the AKC recognized the two types as separate breeds: the Staffordshire Bull Terrier and the American Staffordshire Terrier.The well-bred AmStaff of today is a more mellow fellow than his pit-fighting ancestors and has long been a great American favorite. This is suggested by the breed’s many sightings in our popular culture: In 1903, an AmStaff named Bud was along for the ride on America’s first cross-country auto trip (the subject of the Ken Burns documentary “Horatio’s Drive”); Petey, in the old “Our Gang” film comedies of the 1930s, was an AmStaff, as is Tige, the dog in the Buster Brown Shoes logo; and America’s most decorated American war dog was an AmStaff named Sgt. Stubby, a K-9 of World War I who counted three U.S. presidents among his admirers.","Black,Blue,Bronze,Fawn,Liver,Red,White,Patched,Spotted"
appenzeller,Appenzeller,19-22 inches," 48-70 pounds",12-15 years,Pinscher and Schnauzer,switzerland,"As early as 1853, the Appenzell Cattle Dog was first described as a high-pitch barking, short-haired, multi-colored cattle dog of a Sptiz type, and used to guard the homestead and to herd cattle in his native region of Appenzell, Switzerland. Pushed by breed promoter, Max Siber, the Appenzeller was designated a breed of its own by the Swiss Cynological Society in 1898.Initiated by Professor Dr. Albert Heim, a committed fancier of Swiss Cattle Dogs, the Appenzeller Sennenhund Club was established in 1906 to promote and preserve the breed. Dr. Heim set up the first valid breed standard in 1914 and with that the compulsory registration of puppies in the Appenzeller Dog Stud Book.Today, the breed can be seen all over Switzerland and in other parts of Europe. Though considered rare, numbers of Appenzellers are slowly increasing in North America as well. The breeding stock is still very small, and it is only by careful and responsible breeding that it will be possible to establish and consolidate its natural and outstanding hereditary qualities.","black, tan and white"
staffordshire_bullterrier,Staffordshire Bullterrier,14-16 inches,"28-38 pounds (male), 24-34 pounds (female)",12-14 years,Terriers,great britain,"The story of the Staffordshire Bull Terrier is a relatively brief one in the grand scheme of canine history, but it can be confused by the several different names hung on the breed at various times. The Bull-and-Terrier, the Patched Fighting Terrier, the Staffordshire Pit-dog, and the Brindle Bull are a few of the Stafford’s historical aliases.Staffordshire Bull Terriers are among the AKC terriers, such as the Bull Terrier and American Staffordshire Terrier, classified as “bull types.” All have a similar backstory. A few centuries ago, in the days when betting on the outcome of dog-oriented blood sports was all the rage in England, gamblers bred ferocious dogs to excel in these ghastly affairs. The granddaddy of these breeds was the Bulldog, created for the horrifying spectacle of bull-baiting.Blood sports were outlawed in 1835, but pit-dog wagering continued as an underground activity. In these illicit pits, usually housed in a cellar, away from the prying eyes of the law, dogs would either do battle against one another, gladiator-style, or would be set against a sack full of rats. Gamblers took Bulldogs, unemployed after bull-baiting went by the boards, and crossed them with quick, feisty terriers. The results were fighting dogs with the punishing jaws of a Bulldog and the fiery spirit of a terrier.From among the profusion of breeds created in this way, most now extinct, the Staffordshire Bull Terrier, perfected by one James Hinks, of Birmingham, England, in the mid-19th century, emerged as one of the most successful and enduring. The breed name that finally came to these burly, broad-skulled terriers is a nod to the county of Staffordshire, where the breed was especially popular.After the Staffordshire Bull arrived in North America in the 1880s, breeders developed a taller, heavier offshoot, the American Staffordshire Terrier, or AmStaff. Since then, more than a hundred years of responsible breeding has transformed both breeds from brawlers to trustworthy family companions.","Black,Black & White,Blue,Blue & White,Brindle,Brindle & White,Fawn,Fawn & White,Red,Red & White,White,White & Brindle,White & Fawn,White & Red,Black & Tan,Liver"
soft-coated_wheaten_terrier,Soft-Coated Wheaten Terrier,"18-19 inches (male), 17-18 inches (female)","35-40 pounds (male), 30-35 pounds (female)",12-14 years,Terriers,ireland,"Among Ireland’s gifts to civilization are reams of great literature, a mighty smooth whiskey, and three magnificent long-legged terriers: the Wheaten, Kerry Blue, and Irish. All share a common ancestry and were bred for similar purposes. As versatile farm dogs, Wheatens were expected to do any number of rustic chores, like ratting, guarding the chicken coop, and even herding or bird-dogging. When day was done they were engaging fireside companions, a role they still relish—even if the hearth has been replaced by a TV.",Wheaten
irish_setter,Irish Setter,"27 inches (male), 25 inches (female)","70 pounds (male), 60 pounds (female)",12-15 years,Pointing Dogs,ireland,"A setter is a type of dog bred to locate gamebirds by using their keen sense of smell. The setter shows a hunter he’s found birds by “setting” down on his belly. Before the invention of firearms, setters worked in tandem with trained falcons and hunters using nets. Today, setters are gundogs, that is, they work with a hunter toting a rifle.Irish huntsmen of the 1800s bred their sleek, rangy “Red Setters” to move freely and swiftly, the better to cover ground in the wide, flat countryside of the Emerald Isle. By way of contrast, the Irish Setter’s kinsman from Scotland, the Gordon Setter, was built to flush and retrieve game on rocky, punishing terrain and is therefore a heavier-bodied dog that moves at a more deliberate pace.The Irish Setter earned a reputation as an energetic but efficient worker in the bird fields, and, thanks to its eye-catching good looks and graceful gait, has been a big winner in the show ring since the sport’s beginnings in the 1870s. Eleven Irish have won the Sporting Group competition at the Westminster Kennel Club show over the years. The most famous Irish Setter of all time, however, was fictional, the title character of Jim Kjelgaard’s 1945 novel “Big Red.” President Richard Nixon’s Irish Setter, King Timahoe, was named for a small town in Ireland that was the homeland of the president’s ancestors.","Chestnut,Mahogany,Red"
silky_terrier,Silky Terrier,9-10 inches,around 10 pounds,13-15 years,Terriers,australia,"The casual observer can be forgiven for mistaking a Silky for a Yorkshire or Australian terrier at first glance. After all, Yorkies and Aussies were the main components utilized by Australian breeders when creating the Silky in the early 20th century. Other breeds that might factor in the Silky’s development (depending on who’s telling the story) include Cairn, Dandie Dinmont, and Skye terriers, three of several British terriers brought to Australia by English settlers. For the record, Silkys are larger than Yorkies and smaller than Aussies.","Black,Black & Tan,Blue,Blue & Tan,Blue Silver & Tan,Cream,Fawn,Gray,Gray & Tan,Platinum,Silver,Silver & Tan,Silver Black & Tan"
rhodesian_ridgeback,Rhodesian Ridgeback,"25-27 inches (male), 24-26 inches (female)","85 pounds (male), 70 pounds (female)",~10 years,Scent hounds and related breeds,south africa,"The Rhodesian Ridgeback is a unique creation of southern Africa, resulting from crosses between the native ridged Khoikhoi dog and European breeds brought by Dutch colonists, including Greyhounds and various Terriers. The infusion of native Khoi blood gave resulting generations a resiliency against local pests such as the tsetse fly, as well as an inborn knowledge of how to navigate their new African environs – and outwit its deadly predators.In the late 19th Century, Rhodesian big-game hunter Cornelius van Rooyen incorporated two ridged Greyhound-like females into his pack of lion dogs. He found that their ridged offspring excelled at confronting and confounding the king of beasts, giving the hunter time to sight in his rifle and dispatch his prey. These ridged dogs were also successful at fending off other dangerous animals such as leopards and baboons, trotting effortlessly alongside horse-mounted riders all day, breaking off to course quick-footed game such as antelope to provide meat for the pot, and protecting the homestead from all intruders. They were known then, as they are today, for their devotion to family, and tolerance and affection for its children.In 1922, a meeting was convened to write the first Rhodesian Ridgeback standard. By then, big-game hunting had already begun to fade in South Africa, and the breed itself was on the brink of extinction. The dogs convened at this meeting ranged in size and appearance from Bull Terriers to Great Dane, and the Dalmatian standard was used as a template to arrive at the standardized vision of the breed that we know today. ",Wheaten
